FantaCode,Role,Name,Voto,Gf,Gs,Rp,Rs,Rf,Au,Amm,Esp,Ass,Gdv,Gdp,Day
2792,P,Musso,6,0,1,0,0,0,0,1,0,0,0,0,1
770,D,Pezzella Giu.,6,0,0,0,0,0,0,0,0,0,0,0,1
787,D,Djimsiti,6,0,0,0,0,0,0,0,0,0,0,0,1
2160,D,Gosens,5.5,0,0,0,0,0,0,0,0,0,0,0,1
2181,D,Palomino,6.5,0,0,0,0,0,0,0,0,0,0,0,1
4332,D,Demiral,5.5,0,0,0,0,0,0,1,0,0,0,0,1
4934,D,Lovato,6,0,0,0,0,0,0,0,0,0,0,0,1
5375,D,Maehle,5.5,0,0,0,0,0,0,0,0,0,0,0,1
2077,C,Pasalic,6.5,0,0,0,0,0,0,0,0,1,0,0,1
2741,C,Pessina,6,0,0,0,0,0,0,0,0,0,0,0,1
4427,C,Malinovskyi,5.5,0,0,0,0,0,0,0,0,0,0,0,1
5001,C,Miranchuk,6,0,0,0,0,0,0,0,0,0,0,0,1
177,A,Ilicic,6.5,0,0,0,0,0,0,0,0,0,0,0,1
507,A,Muriel,7,1,0,0,0,0,0,0,0,0,0,0,1
4359,A,Piccoli,7,1,0,0,0,0,0,0,0,0,0,0,1
5292,A,Lammers,6,0,0,0,0,0,0,0,0,0,0,0,1
684,ALL,Gasperini,6.5,0,0,0,0,0,0,0,0,0,0,0,1
133,P,Skorupski,6,0,2,0,0,0,0,0,0,0,0,0,1
487,D,De Silvestri,8,2,0,0,0,0,0,0,0,0,0,0,1
2192,D,Bonifazi,5.5,0,0,0,0,0,0,1,0,0,0,0,1
5300,D,Hickey,5.5,0,0,0,0,0,0,0,0,0,0,0,1
272,C,Medel,6,0,0,0,0,0,0,0,0,0,0,0,1
2154,C,Vignato,6,0,0,0,0,0,0,0,0,0,0,0,1
2167,C,Orsolini,6,0,0,0,0,0,0,0,0,1,0,0,1
2625,C,Soriano,4.5,0,0,0,0,0,0,0,1,0,0,0,1
2744,C,Svanberg,6,0,0,0,0,0,0,0,0,0,0,0,1
4393,C,Schouten,5.5,0,0,0,0,0,0,0,1,1,0,0,1
4415,C,Skov Olsen,6,0,0,0,0,0,0,0,0,0,0,0,1
4869,C,Dominguez,5.5,0,0,0,0,0,0,0,0,0,0,0,1
537,A,Sansone,6.5,0,0,0,0,0,0,1,0,1,0,0,1
2719,A,Barrow,5,0,0,0,0,0,0,0,0,0,0,0,1
4268,A,Arnautovic,6.5,1,0,0,0,0,0,0,0,0,0,0,1
5446,A,Van Hooijdonk,6,0,0,0,0,0,0,0,0,0,0,0,1
687,ALL,Mihajlovic,6.5,0,0,0,0,0,0,0,0,0,0,0,1
2178,P,Cragno,5.5,0,2,0,0,0,0,0,0,0,0,0,1
1866,D,Ceppitelli,6,0,0,0,0,0,0,0,0,0,0,0,1
2289,D,Dalbert,5.5,0,0,0,0,0,0,0,0,0,0,0,1
2572,D,Godin,5.5,0,0,0,0,0,0,0,0,0,0,0,1
2653,D,Lykogiannis,6,0,0,0,0,0,0,0,0,0,0,0,1
4374,D,Walukiewicz,5,0,0,0,0,0,0,0,0,0,0,0,1
4461,D,Zappa,6,0,0,0,0,0,0,1,0,0,0,0,1
4925,D,Carboni,5.5,0,0,0,0,0,0,0,0,0,0,0,1
470,C,Strootman,6,0,0,0,0,0,0,1,0,0,0,0,1
1871,C,Deiola,5.5,0,0,0,0,0,0,0,0,0,0,0,1
4514,C,Nandez,6.5,0,0,0,0,0,0,0,0,0,0,0,1
4886,C,Pereiro,6,0,0,0,0,0,0,0,0,0,0,0,1
4965,C,Marin,6,0,0,0,0,0,0,0,0,1,0,0,1
247,A,Pavoletti,6,0,0,0,0,0,0,0,0,0,0,0,1
1874,A,Joao Pedro,7.5,1,0,0,0,1,0,0,0,0,0,0,1
2061,A,Simeone,6,0,0,0,0,0,0,0,0,0,0,0,1
2269,ALL,Semplici,6,0,0,0,0,0,0,0,0,0,0,0,1
4964,P,Vicario,5,0,3,0,0,0,0,0,0,0,0,0,1
76,D,Romagnoli S.,4.5,0,0,0,0,0,0,0,0,0,0,0,1
805,D,Fiamozzi,6,0,0,0,0,0,0,0,0,0,0,0,1
2252,D,Marchizza,5,0,0,0,0,0,0,0,0,0,0,0,1
5010,D,Ismajli,6,0,0,0,0,0,0,1,0,0,0,0,1
5450,D,Stojanovic,6.5,0,0,0,0,0,0,1,0,0,0,0,1
2161,C,Haas,6,0,0,0,0,0,0,0,0,0,0,0,1
2253,C,Bandinelli,6.5,1,0,0,0,0,0,0,0,0,0,0,1
2286,C,Crociata,6,0,0,0,0,0,0,0,0,0,0,0,1
4376,C,Zurkowski,5.5,0,0,0,0,0,0,0,0,0,0,0,1
4498,C,Henderson L.,6,0,0,0,0,0,0,0,0,0,0,0,1
5451,C,Bajrami,7,0,0,0,0,0,0,0,0,1,0,0,1
5453,C,Ricci S.,5.5,0,0,0,0,0,0,0,0,0,0,0,1
2155,A,Cutrone,5.5,0,0,0,0,0,0,0,0,0,0,0,1
4477,A,La Mantia,6,0,0,0,0,0,0,0,0,0,0,0,1
5454,A,Mancuso,6,0,0,0,0,0,0,0,0,0,0,0,1
2821,ALL,Andreazzoli,5.5,0,0,0,0,0,0,0,0,0,0,0,1
1917,P,Dragowski,4,0,0,0,0,0,0,0,1,0,0,0,1
2815,P,Terracciano,6,0,3,0,0,0,0,0,0,0,0,0,1
252,D,Biraghi,6,0,0,0,0,0,0,0,0,0,0,0,1
2164,D,Milenkovic,6.5,1,0,0,0,0,0,0,0,0,0,0,1
2174,D,Venuti,4.5,0,0,0,0,0,0,0,0,0,0,0,1
4407,D,Igor,5,0,0,0,0,0,0,0,0,0,0,0,1
150,C,Saponara,6,0,0,0,0,0,0,0,0,0,0,0,1
367,C,Bonaventura,6.5,0,0,0,0,0,0,1,0,0,0,0,1
406,C,Callejon,6,0,0,0,0,0,0,0,0,0,0,0,1
557,C,Benassi,6,0,0,0,0,0,0,0,0,0,0,0,1
644,C,Pulgar,5.5,0,0,0,0,0,0,1,0,1,0,0,1
2839,C,Sottil,6,0,0,0,0,0,0,0,0,0,0,0,1
4377,C,Castrovilli,5.5,0,0,0,0,0,0,0,0,0,0,0,1
5457,C,Maleh,5.5,0,0,0,0,0,0,0,0,0,0,0,1
2841,A,Vlahovic,5,0,0,0,0,0,0,0,0,0,0,0,1
4179,A,Gonzalez N.,6.5,0,0,0,0,0,0,0,0,0,0,0,1
4993,ALL,Italiano,6,0,0,0,0,0,0,0,0,0,0,0,1
2179,P,Sirigu,6,0,4,0,0,0,0,0,0,0,0,0,1
791,D,Sabelli,6,0,0,0,0,0,0,0,0,0,0,0,1
2083,D,Biraschi,5,0,0,0,0,0,0,0,0,0,0,0,1
2328,D,Vanheusden,5,0,0,0,0,0,0,0,0,0,0,0,1
2759,D,Criscito,5,0,0,0,0,0,0,1,0,0,0,0,1
5520,D,Cambiaso,5.5,0,0,0,0,0,0,0,0,0,0,0,1
5524,D,Serpe,5.5,0,0,0,0,0,0,0,0,0,0,0,1
170,C,Badelj,5.5,0,0,0,0,0,0,0,0,0,0,0,1
305,C,Sturaro,5,0,0,0,0,0,0,1,0,0,0,0,1
2121,C,Melegoni,5.5,0,0,0,0,0,0,0,0,0,0,0,1
4423,C,Hernani,5.5,0,0,0,0,0,0,0,0,0,0,0,1
4459,C,Rovella,5,0,0,0,0,0,0,0,0,0,0,0,1
245,A,Pandev,5,0,0,0,0,0,0,0,0,0,0,0,1
819,A,Favilli,5.5,0,0,0,0,0,0,0,0,0,0,0,1
5439,A,Kallon,5.5,0,0,0,0,0,0,0,0,0,0,0,1
5523,A,Bianchi F.,6,0,0,0,0,0,0,0,0,0,0,0,1
762,ALL,Ballardini,5.5,0,0,0,0,0,0,0,0,0,0,0,1
250,P,Handanovic,6,0,0,0,0,0,0,0,0,0,0,0,1
254,D,Dimarco,6,0,0,0,0,0,0,0,0,0,0,0,1
322,D,De Vrij,6,0,0,0,0,0,0,0,0,0,0,0,1
798,D,Skriniar,7,1,0,0,0,0,0,0,0,0,0,0,1
2120,D,Bastoni,6.5,0,0,0,0,0,0,0,0,0,0,0,1
2525,D,Darmian,6,0,0,0,0,0,0,0,0,0,0,0,1
5513,D,Dumfries,6,0,0,0,0,0,0,0,0,0,0,0,1
181,C,Vecino,6,0,0,0,0,0,0,1,0,0,0,0,1
265,C,Brozovic,6.5,0,0,0,0,0,0,0,0,0,0,0,1
704,C,Perisic,6,0,0,0,0,0,0,0,0,0,0,0,1
1870,C,Barella,7,0,0,0,0,0,0,0,0,1,0,0,1
1978,C,Sensi,6,0,0,0,0,0,0,0,0,0,0,0,1
2194,C,Calhanoglu,8,1,0,0,0,0,0,0,0,1,0,0,1
2414,C,Vidal,7.5,1,0,0,0,0,0,0,0,1,0,0,1
